               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12593,            0.033174,            0.067389,           0.0061207,            0.034121,           0.0010707,          0.00018783,             0.10692,             0.02915,              0.0366,              0.0007,              0.0007,              0.0937
                   1,             0.10485,            0.026753,             0.02617,           0.0038682,             0.16176,           0.0018063,          0.00029898,             0.10734,            0.023951,            0.017718,           0.0014997,           0.0014997,              0.0865
                   2,            0.093416,            0.022126,            0.013691,          0.00020575,             0.04902,          0.00010615,          1.6796e-05,             0.12159,            0.037504,           0.0087321,           0.0022991,           0.0022991,            0.079299
                   3,            0.090533,            0.019294,           0.0098168,            0.012163,            0.083333,           0.0023873,          0.00038028,              0.1179,            0.028198,           0.0043997,           0.0030982,           0.0030982,            0.072098
                   4,            0.083534,            0.018882,           0.0084409,           0.0070672,             0.71078,           0.0066996,           0.0013686,            0.097114,            0.034008,           0.0038283,           0.0038969,           0.0038969,            0.064897
                   5,            0.074742,            0.017704,           0.0086211,             0.47093,             0.55147,              0.4929,             0.11021,             0.10579,            0.025408,           0.0034625,           0.0046953,           0.0046953,            0.057695
                   6,            0.073317,            0.016561,           0.0087167,             0.37798,             0.41852,             0.26867,             0.03324,            0.091344,            0.022238,           0.0036687,           0.0054935,           0.0054935,            0.050493
                   7,            0.071261,            0.015292,           0.0073759,              0.5549,             0.75245,             0.67965,             0.22125,            0.080646,            0.018203,           0.0039174,           0.0062913,           0.0062913,            0.043291
                   8,            0.067411,            0.014906,           0.0078559,             0.39541,             0.73738,             0.38208,            0.060569,            0.079954,             0.02111,           0.0033289,           0.0070888,           0.0070888,            0.036089
                   9,            0.069523,             0.01329,           0.0072116,             0.41731,              0.8689,             0.43029,             0.11347,            0.078859,            0.021846,           0.0038642,           0.0078859,           0.0078859,            0.028886
                  10,            0.063818,            0.013061,           0.0072493,             0.73741,             0.75245,             0.79974,             0.34977,            0.056007,            0.015123,           0.0039129,           0.0086828,           0.0086828,            0.021683
                  11,            0.061054,            0.010977,           0.0064129,             0.64849,             0.83088,             0.78629,             0.21124,             0.07815,            0.019448,           0.0029402,           0.0094793,           0.0094793,            0.014479
                  12,            0.061322,            0.010046,           0.0060167,             0.48026,             0.81127,              0.5714,             0.11186,            0.070393,            0.024579,           0.0028791,           0.0099762,           0.0099762,           0.0099762
                  13,            0.058494,           0.0093727,           0.0058606,             0.52042,             0.79167,             0.52831,             0.11769,            0.071404,            0.019224,           0.0029835,           0.0099762,           0.0099762,           0.0099762
                  14,             0.05337,           0.0096337,           0.0057464,             0.70429,             0.78431,             0.77284,             0.20528,            0.055644,            0.014237,           0.0032763,           0.0099743,           0.0099743,           0.0099743
                  15,            0.051513,           0.0089574,           0.0055625,             0.37447,             0.80994,             0.54406,             0.15151,            0.065832,            0.015531,           0.0032981,           0.0099723,           0.0099723,           0.0099723
                  16,              0.0492,           0.0083542,           0.0054864,             0.93444,             0.98529,              0.9676,              0.3394,            0.052607,            0.014465,           0.0031831,           0.0099703,           0.0099703,           0.0099703
                  17,            0.046026,           0.0082878,           0.0047172,             0.90069,             0.93359,             0.95055,             0.56882,            0.049539,            0.010751,           0.0034072,           0.0099683,           0.0099683,           0.0099683
